Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1815.0291342092069
FDW14,OUT017,1550.039909239338
NCN55,OUT010,1919.5681062631961
FDQ58,OUT017,2670.8623929172027
FDY38,OUT027,5078.1868796389235
FDH56,OUT046,1982.9866420227906
FDL48,OUT018,610.2417327150145
FDC48,OUT027,2818.430585207112
FDN33,OUT045,1523.9723065306214
FDA36,OUT017,3197.9179228135845
FDT44,OUT017,2068.7427018047874
FDQ56,OUT045,1350.3936472827822
NCC54,OUT019,1844.293101696795
FDU11,OUT049,1998.797751789858
DRL59,OUT013,910.1987783183056
FDM24,OUT049,2551.6142719759573
FDI57,OUT045,3303.242951010424
DRC12,OUT018,2729.110826741772
NCM42,OUT027,3193.271053131195
FDA46,OUT010,1152.8747185156994
FDA31,OUT013,2807.497625280036
NCJ31,OUT035,3831.325819049669
FDG52,OUT046,806.9609359317958
NCL19,OUT019,380.9304916007302
FDS10,OUT035,2979.346194058793
FDX22,OUT010,1500.303945994347
NCF19,OUT035,879.3796684059298
NCE06,OUT046,2578.68057648357
DRC27,OUT046,3821.681662262503
FDE21,OUT035,2010.7633947476381
NCR42,OUT019,-1373.3501610408437
FDX51,OUT018,2879.175726451761
NCR06,OUT018,429.6494926740186
FDU31,OUT027,4962.804028957769
FDU59,OUT017,2752.358753325825
FDR03,OUT027,4762.682431990453
FDS49,OUT027,2801.708302900249
FDD48,OUT010,-1.5918692272268231
NCF18,OUT017,3164.063883834532
NCD43,OUT027,3099.8790235844863
NCD54,OUT018,1978.021468374401
FDY19,OUT010,6.779982536825003
NCY54,OUT017,2863.6631571927037
NCL19,OUT018,2040.0226312296352
FDP23,OUT010,1544.8293424846806
FDC26,OUT013,1848.3518226222925
FDR14,OUT010,-1114.0909050827943
NCS41,OUT035,2998.580597171903
FDF41,OUT035,3961.585386899249
FDU34,OUT046,2037.8215568765247
DRH11,OUT046,1014.0573933651156
FDM03,OUT013,1722.6675413024002
FDS31,OUT017,3103.9923579538554
FDJ20,OUT017,2159.04993789691
FDV44,OUT027,4505.998623219651
FDG02,OUT049,3135.6762962081175
FDA09,OUT013,2929.0727546059215
FDT04,OUT013,611.9169289255381
FDL58,OUT019,2271.254132266807
FDE52,OUT045,1373.3046748579554
FDW12,OUT035,2497.7294555927474
FDL51,OUT017,3512.4309009223653
NCY42,OUT027,3690.2546182539754
FDR07,OUT017,1735.8158950373393
FDN40,OUT045,2348.3774538174184
FDB35,OUT027,3049.6507140591675
FDA22,OUT017,2909.4745165313007
NCL06,OUT046,4145.13651320586
FDI35,OUT013,3000.8679970484973
NCW42,OUT045,3413.5804224250924
NCX06,OUT049,2900.36710993457
FDC37,OUT027,3234.127369776864
FDZ14,OUT018,1647.019841218017
DRG49,OUT049,3899.448037590095
NCG06,OUT045,3965.352049449143
DRC36,OUT045,2704.6624605509815
FDV21,OUT019,23.92769663481954
FDB53,OUT046,2349.202818512745
DRP47,OUT019,2039.1215824798937
FDA14,OUT013,2239.592216086052
DRC24,OUT035,2499.616677010097
FDW21,OUT018,1419.551202447229
NCH29,OUT046,1621.1404737453142
FDU58,OUT013,3069.201146967118
FDY27,OUT017,2926.0169258999485
FDV56,OUT035,1924.619375887433
FDT59,OUT046,3675.091005886813
FDB23,OUT046,3756.1628915272922
FDR49,OUT045,754.3767014043619
FDB03,OUT010,1819.1180354560283
FDN39,OUT045,2643.5336964391227
FDX02,OUT027,4894.840829160653
FDQ16,OUT027,3156.813795567048
FDU35,OUT018,1304.8465097718818
NCT29,OUT013,1955.5999336428367
FDZ27,OUT046,789.8255171244596
FDN57,OUT017,2412.3101763209606
FDA03,OUT018,1992.3523642699943
FDZ36,OUT045,2970.5592019788546
NCU05,OUT013,1321.6451763438495
FDT39,OUT018,2207.5272883706552
FDK60,OUT017,1788.2739227869995
FDZ25,OUT017,2951.694630222535
FDG12,OUT046,2097.213634201406
DRB01,OUT019,1067.891366615056
NCC43,OUT027,5360.771466606264
FDX13,OUT019,2070.173014184804
FDM22,OUT049,994.4020582611086
FDJ03,OUT027,2213.200988823618
FDU14,OUT018,3596.248007357144
FDB33,OUT010,685.2117839849027
FDP27,OUT046,3065.1595924931216
FDO38,OUT010,-601.3899119766058
FDE28,OUT027,5089.546812690455
FDO27,OUT035,1658.900239301174
DRL23,OUT027,3209.5267486538687
FDS28,OUT046,970.6235400756685
FDX24,OUT013,1569.7171845993128
FDZ02,OUT035,1627.632220635039
FDL46,OUT045,1823.676609252643
FDS60,OUT027,4331.552381284072
NCO06,OUT017,682.0255876833508
FDO16,OUT035,1471.9311707841553
FDC60,OUT049,1540.3110686653747
FDA48,OUT018,3220.8062720544494
FDZ36,OUT027,4495.987802744218
FDK27,OUT045,1918.3144270219593
FDW23,OUT018,422.32597630664577
FDM14,OUT018,1561.083237639413
FDM14,OUT013,1822.5190104473043
FDW60,OUT018,2641.7662680879885
FDE21,OUT013,1920.0309251569845
NCM42,OUT035,1853.1878920876454
FDY59,OUT010,-311.02255549901315
DRI49,OUT049,1298.4144453420017
FDT28,OUT019,461.59223914616507
FDQ22,OUT018,410.32769736454566
FDR60,OUT049,1318.969037191163
FDC50,OUT019,-379.54350871868655
FDV24,OUT013,2462.6216932692623
DRF48,OUT010,1104.585327875327
FDQ47,OUT046,646.9301108173231
DRN36,OUT049,1595.1765559676967
NCY06,OUT035,2125.6550259693313
FDE52,OUT035,1519.1947990655945
NCB54,OUT045,1975.1318891990265
NCF31,OUT035,2511.790372027047
FDJ08,OUT027,4463.223215413676
NCC07,OUT017,1848.0815271494819
NCD19,OUT027,2329.179060966297
FDL46,OUT049,1990.7596393944273
FDM20,OUT045,3870.1713301730206
NCI06,OUT010,953.6062790871638
